User Query,Category,Priority
Unable to login to the student portal for the last four days.,Technical,urgent
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
Attendance not marked for today's lectures.,Academic,high
Unable to login to the student portal for the last five days.,Technical,urgent
No electricity in hostel block A since morning.,Hostel/Mess,urgent
Cleaning staff hasn't come to room 404 in 2 days.,Maintenance,low
Not receiving college emails.,Technical,urgent
Wi-Fi is not working in the hostel block D.,Technical,urgent
Need transfer certificate urgently.,Academic,urgent
Allotment details are not updated in the portal.,Hostel/Mess,high
Grades for Mathematics are missing.,Academic,urgent
Need transfer certificate urgently.,Academic,urgent
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
Password generation link is not working.,Technical,urgent
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
Corridor lighting on floor 4th is very dim.,Maintenance,high
Timetable not updated on portal.,Academic,high
Not receiving college emails.,Technical,urgent
Password generation link is not working.,Technical,urgent
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
No drinking water in the mess area.,Maintenance,low
LMS is showing blank page after login.,Technical,low
No drinking water in the mess area.,Maintenance,low
Attendance not marked for today's lectures.,Academic,high
Wi-Fi is not working in the hostel block B.,Technical,urgent
Cleaning staff hasn't come to room 202 in 2 days.,Maintenance,low
Grades for Chemistry are missing.,Academic,urgent
No electricity in hostel block B since morning.,Hostel/Mess,urgent
Air conditioning is not functioning in classroom 202.,Maintenance,medium
Corridor lighting on floor 1st is very dim.,Maintenance,high
No electricity in hostel block B since morning.,Hostel/Mess,urgent
Grades for Physics are missing.,Academic,urgent
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
No electricity in hostel block D since morning.,Hostel/Mess,urgent
Not receiving college emails.,Technical,urgent
Wi-Fi is not working in the hostel block D.,Technical,urgent
Wi-Fi is not working in the hostel block D.,Technical,urgent
Wi-Fi is not working in the hostel block B.,Technical,urgent
Permission needed for external competition.,Academic,medium
Permission needed for external competition.,Academic,medium
Cleaning staff hasn't come to room 202 in 2 days.,Maintenance,low
Cleaning staff hasn't come to room 404 in 2 days.,Maintenance,low
LMS is showing blank page after login.,Technical,low
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
Elevator in block C is not working.,Maintenance,urgent
Password generation link is not working.,Technical,urgent
Not receiving college emails.,Technical,urgent
Attendance not marked for today's lectures.,Academic,high
LMS is showing blank page after login.,Technical,medium
Allotment details are not updated in the portal.,Hostel/Mess,high
Elevator in block A is not working.,Maintenance,urgent
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
Room 101 has broken furniture.,Hostel/Mess,urgent
Wi-Fi is not working in the hostel block A.,Technical,urgent
Air conditioning is not functioning in classroom 404.,Maintenance,low
Wi-Fi is not working in the hostel block C.,Technical,urgent
Allotment details are not updated in the portal.,Hostel/Mess,high
Attendance not marked for today's lectures.,Academic,high
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
LMS is showing blank page after login.,Technical,medium
LMS is showing blank page after login.,Technical,medium
Timetable not updated on portal.,Academic,high
Unable to login to the student portal for the last three days.,Technical,urgent
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
Password generation link is not working.,Technical,urgent
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
Room 101 has broken furniture.,Hostel/Mess,urgent
No drinking water in the mess area.,Maintenance,medium
Air conditioning is not functioning in classroom 404.,Maintenance,medium
Not receiving college emails.,Technical,urgent
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
Cleaning staff hasn't come to room 303 in 2 days.,Maintenance,low
Permission needed for external competition.,Academic,medium
LMS is showing blank page after login.,Technical,low
No electricity in hostel block B since morning.,Hostel/Mess,urgent
Air conditioning is not functioning in classroom 101.,Maintenance,low
Timetable not updated on portal.,Academic,high
Unable to login to the student portal for the last five days.,Technical,urgent
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
Attendance not marked for today's lectures.,Academic,high
Need transfer certificate urgently.,Academic,urgent
No electricity in hostel block C since morning.,Hostel/Mess,urgent
Air conditioning is not functioning in classroom 101.,Maintenance,low
Permission needed for external competition.,Academic,medium
LMS is showing blank page after login.,Technical,medium
Air conditioning is not functioning in classroom 101.,Maintenance,medium
Corridor lighting on floor 3rd is very dim.,Maintenance,high
Wi-Fi is not working in the hostel block B.,Technical,urgent
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
Allotment details are not updated in the portal.,Hostel/Mess,high
Elevator in block D is not working.,Maintenance,urgent
Wi-Fi is not working in the hostel block B.,Technical,urgent
Room 303 has broken furniture.,Hostel/Mess,urgent
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
No electricity in hostel block D since morning.,Hostel/Mess,urgent
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
Elevator in block B is not working.,Maintenance,urgent
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
Wi-Fi is not working in the hostel block C.,Technical,urgent
Room 202 has broken furniture.,Hostel/Mess,urgent
Allotment details are not updated in the portal.,Hostel/Mess,high
No electricity in hostel block B since morning.,Hostel/Mess,urgent
Not receiving college emails.,Technical,urgent
Unable to login to the student portal for the last five days.,Technical,urgent
LMS is showing blank page after login.,Technical,medium
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
Allotment details are not updated in the portal.,Hostel/Mess,high
LMS is showing blank page after login.,Technical,low
Cleaning staff hasn't come to room 202 in 2 days.,Maintenance,low
Permission needed for external competition.,Academic,medium
Permission needed for external competition.,Academic,medium
Corridor lighting on floor 4th is very dim.,Maintenance,high
Attendance not marked for today's lectures.,Academic,high
Wi-Fi is not working in the hostel block D.,Technical,urgent
Need transfer certificate urgently.,Academic,urgent
Corridor lighting on floor 2nd is very dim.,Maintenance,high
Elevator in block B is not working.,Maintenance,urgent
Grades for Physics are missing.,Academic,urgent
LMS is showing blank page after login.,Technical,medium
Wi-Fi is not working in the hostel block A.,Technical,urgent
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
Allotment details are not updated in the portal.,Hostel/Mess,high
Timetable not updated on portal.,Academic,high
Need transfer certificate urgently.,Academic,urgent
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
Cleaning staff hasn't come to room 303 in 2 days.,Maintenance,low
Password generation link is not working.,Technical,urgent
Timetable not updated on portal.,Academic,high
Password generation link is not working.,Technical,urgent
Attendance not marked for today's lectures.,Academic,high
Corridor lighting on floor 2nd is very dim.,Maintenance,high
Timetable not updated on portal.,Academic,high
Cleaning staff hasn't come to room 202 in 2 days.,Maintenance,medium
Room 303 has broken furniture.,Hostel/Mess,urgent
Elevator in block D is not working.,Maintenance,urgent
Cleaning staff hasn't come to room 404 in 2 days.,Maintenance,low
Not receiving college emails.,Technical,urgent
Timetable not updated on portal.,Academic,high
Elevator in block C is not working.,Maintenance,urgent
Timetable not updated on portal.,Academic,high
Password generation link is not working.,Technical,urgent
Wi-Fi is not working in the hostel block B.,Technical,urgent
Timetable not updated on portal.,Academic,high
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
Cleaning staff hasn't come to room 202 in 2 days.,Maintenance,medium
Elevator in block A is not working.,Maintenance,urgent
No electricity in hostel block A since morning.,Hostel/Mess,urgent
Unable to login to the student portal for the last four days.,Technical,urgent
Attendance not marked for today's lectures.,Academic,high
No drinking water in the mess area.,Maintenance,medium
Not receiving college emails.,Technical,urgent
Cleaning staff hasn't come to room 202 in 2 days.,Maintenance,medium
Cleaning staff hasn't come to room 101 in 2 days.,Maintenance,medium
Password generation link is not working.,Technical,urgent
Attendance not marked for today's lectures.,Academic,high
Room 303 has broken furniture.,Hostel/Mess,urgent
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
LMS is showing blank page after login.,Technical,low
Elevator in block A is not working.,Maintenance,urgent
Timetable not updated on portal.,Academic,high
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
Grades for Mathematics are missing.,Academic,urgent
Air conditioning is not functioning in classroom 303.,Maintenance,medium
Elevator in block A is not working.,Maintenance,urgent
No drinking water in the mess area.,Maintenance,medium
Not receiving college emails.,Technical,urgent
No electricity in hostel block D since morning.,Hostel/Mess,urgent
Cleaning staff hasn't come to room 303 in 2 days.,Maintenance,medium
Elevator in block A is not working.,Maintenance,urgent
LMS is showing blank page after login.,Technical,medium
Attendance not marked for today's lectures.,Academic,high
Allotment details are not updated in the portal.,Hostel/Mess,high
Air conditioning is not functioning in classroom 101.,Maintenance,low
Wi-Fi is not working in the hostel block C.,Technical,urgent
Air conditioning is not functioning in classroom 404.,Maintenance,medium
No drinking water in the mess area.,Maintenance,medium
No drinking water in the mess area.,Maintenance,low
LMS is showing blank page after login.,Technical,medium
Unable to login to the student portal for the last four days.,Technical,urgent
Need transfer certificate urgently.,Academic,urgent
No electricity in hostel block A since morning.,Hostel/Mess,urgent
No drinking water in the mess area.,Maintenance,low
Unable to login to the student portal for the last two days.,Technical,urgent
Unable to login to the student portal for the last five days.,Technical,urgent
Password generation link is not working.,Technical,urgent
No electricity in hostel block A since morning.,Hostel/Mess,urgent
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
Unable to login to the student portal for the last two days.,Technical,urgent
Grades for Chemistry are missing.,Academic,urgent
Need transfer certificate urgently.,Academic,urgent
Wi-Fi is not working in the hostel block C.,Technical,urgent
Elevator in block B is not working.,Maintenance,urgent
Corridor lighting on floor 2nd is very dim.,Maintenance,high
Password generation link is not working.,Technical,urgent
Allotment details are not updated in the portal.,Hostel/Mess,high
Room 404 has broken furniture.,Hostel/Mess,urgent
Grades for Chemistry are missing.,Academic,urgent
Grades for Computer Science are missing.,Academic,urgent
Corridor lighting on floor 1st is very dim.,Maintenance,high
Unable to login to the student portal for the last five days.,Technical,urgent
Password generation link is not working.,Technical,urgent
Permission needed for external competition.,Academic,medium
Grades for Mathematics are missing.,Academic,urgent
Room 404 has broken furniture.,Hostel/Mess,urgent
LMS is showing blank page after login.,Technical,low
LMS is showing blank page after login.,Technical,medium
Room 202 has broken furniture.,Hostel/Mess,urgent
Attendance not marked for today's lectures.,Academic,high
Password generation link is not working.,Technical,urgent
Room 303 has broken furniture.,Hostel/Mess,urgent
LMS is showing blank page after login.,Technical,low
LMS is showing blank page after login.,Technical,low
No drinking water in the mess area.,Maintenance,low
Wi-Fi is not working in the hostel block C.,Technical,urgent
Grades for Computer Science are missing.,Academic,urgent
Room 404 has broken furniture.,Hostel/Mess,urgent
Not receiving college emails.,Technical,urgent
Air conditioning is not functioning in classroom 303.,Maintenance,low
Not receiving college emails.,Technical,urgent
Grades for Physics are missing.,Academic,urgent
No drinking water in the mess area.,Maintenance,medium
Need transfer certificate urgently.,Academic,urgent
Elevator in block B is not working.,Maintenance,urgent
Room 303 has broken furniture.,Hostel/Mess,urgent
No electricity in hostel block B since morning.,Hostel/Mess,urgent
Password generation link is not working.,Technical,urgent
Corridor lighting on floor 3rd is very dim.,Maintenance,high
Room 303 has broken furniture.,Hostel/Mess,urgent
Timetable not updated on portal.,Academic,high
Need transfer certificate urgently.,Academic,urgent
Room 202 has broken furniture.,Hostel/Mess,urgent
Cleaning staff hasn't come to room 303 in 2 days.,Maintenance,medium
LMS is showing blank page after login.,Technical,medium
Elevator in block C is not working.,Maintenance,urgent
Wi-Fi is not working in the hostel block B.,Technical,urgent
LMS is showing blank page after login.,Technical,low
Elevator in block C is not working.,Maintenance,urgent
No drinking water in the mess area.,Maintenance,low
Room 101 has broken furniture.,Hostel/Mess,urgent
Cleaning staff hasn't come to room 404 in 2 days.,Maintenance,low
Timetable not updated on portal.,Academic,high
Elevator in block A is not working.,Maintenance,urgent
Wi-Fi is not working in the hostel block C.,Technical,urgent
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
LMS is showing blank page after login.,Technical,low
Attendance not marked for today's lectures.,Academic,high
Wi-Fi is not working in the hostel block A.,Technical,urgent
Elevator in block C is not working.,Maintenance,urgent
Room 101 has broken furniture.,Hostel/Mess,urgent
Grades for Mathematics are missing.,Academic,urgent
Permission needed for external competition.,Academic,medium
Room 202 has broken furniture.,Hostel/Mess,urgent
Permission needed for external competition.,Academic,medium
No drinking water in the mess area.,Maintenance,medium
LMS is showing blank page after login.,Technical,low
LMS is showing blank page after login.,Technical,medium
Grades for English are missing.,Academic,urgent
Need transfer certificate urgently.,Academic,urgent
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
Grades for Chemistry are missing.,Academic,urgent
Allotment details are not updated in the portal.,Hostel/Mess,high
Permission needed for external competition.,Academic,medium
No electricity in hostel block C since morning.,Hostel/Mess,urgent
Attendance not marked for today's lectures.,Academic,high
Permission needed for external competition.,Academic,medium
Air conditioning is not functioning in classroom 202.,Maintenance,low
Corridor lighting on floor 4th is very dim.,Maintenance,high
Attendance not marked for today's lectures.,Academic,high
Not receiving college emails.,Technical,urgent
Air conditioning is not functioning in classroom 303.,Maintenance,low
Air conditioning is not functioning in classroom 303.,Maintenance,medium
Timetable not updated on portal.,Academic,high
Grades for Physics are missing.,Academic,urgent
Allotment details are not updated in the portal.,Hostel/Mess,high
Password generation link is not working.,Technical,urgent
LMS is showing blank page after login.,Technical,low
Timetable not updated on portal.,Academic,high
Not receiving college emails.,Technical,urgent
Need transfer certificate urgently.,Academic,urgent
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
Permission needed for external competition.,Academic,medium
Allotment details are not updated in the portal.,Hostel/Mess,high
LMS is showing blank page after login.,Technical,low
Not receiving college emails.,Technical,urgent
No drinking water in the mess area.,Maintenance,medium
Air conditioning is not functioning in classroom 101.,Maintenance,low
Need transfer certificate urgently.,Academic,urgent
Wi-Fi is not working in the hostel block C.,Technical,urgent
No electricity in hostel block B since morning.,Hostel/Mess,urgent
Timetable not updated on portal.,Academic,high
Wi-Fi is not working in the hostel block A.,Technical,urgent
Need transfer certificate urgently.,Academic,urgent
Attendance not marked for today's lectures.,Academic,high
Corridor lighting on floor 3rd is very dim.,Maintenance,high
Attendance not marked for today's lectures.,Academic,high
Wi-Fi is not working in the hostel block B.,Technical,urgent
Air conditioning is not functioning in classroom 404.,Maintenance,low
Timetable not updated on portal.,Academic,high
No drinking water in the mess area.,Maintenance,medium
Password generation link is not working.,Technical,urgent
Not receiving college emails.,Technical,urgent
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
Room 202 has broken furniture.,Hostel/Mess,urgent
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
Password generation link is not working.,Technical,urgent
Unable to login to the student portal for the last three days.,Technical,urgent
Unable to login to the student portal for the last four days.,Technical,urgent
Unable to login to the student portal for the last three days.,Technical,urgent
Corridor lighting on floor 4th is very dim.,Maintenance,high
No drinking water in the mess area.,Maintenance,medium
No drinking water in the mess area.,Maintenance,low
Wi-Fi is not working in the hostel block A.,Technical,urgent
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
Attendance not marked for today's lectures.,Academic,high
Permission needed for external competition.,Academic,medium
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
No electricity in hostel block C since morning.,Hostel/Mess,urgent
Cleaning staff hasn't come to room 303 in 2 days.,Maintenance,low
No electricity in hostel block C since morning.,Hostel/Mess,urgent
Elevator in block B is not working.,Maintenance,urgent
Timetable not updated on portal.,Academic,high
Attendance not marked for today's lectures.,Academic,high
Wi-Fi is not working in the hostel block C.,Technical,urgent
Food quality in the mess has deteriorated recently.,Hostel/Mess,high
Grades for Physics are missing.,Academic,urgent
Cleaning staff hasn't come to room 101 in 2 days.,Maintenance,low
Not receiving college emails.,Technical,urgent
Permission needed for external competition.,Academic,medium
Corridor lighting on floor 3rd is very dim.,Maintenance,high
Cleaning staff hasn't come to room 202 in 2 days.,Maintenance,low
Not receiving college emails.,Technical,urgent
Allotment details are not updated in the portal.,Hostel/Mess,high
No drinking water in the mess area.,Maintenance,low
Timetable not updated on portal.,Academic,high
Grades for Computer Science are missing.,Academic,urgent
Grades for Computer Science are missing.,Academic,urgent
Password generation link is not working.,Technical,urgent
Permission needed for external competition.,Academic,medium
Timetable not updated on portal.,Academic,high
Attendance not marked for today's lectures.,Academic,high
Timetable not updated on portal.,Academic,high
Wi-Fi is not working in the hostel block B.,Technical,urgent
Elevator in block C is not working.,Maintenance,urgent
Unable to login to the student portal for the last two days.,Technical,urgent
No electricity in hostel block B since morning.,Hostel/Mess,urgent
Need transfer certificate urgently.,Academic,urgent
Allotment details are not updated in the portal.,Hostel/Mess,high
Allotment details are not updated in the portal.,Hostel/Mess,high
Corridor lighting on floor 2nd is very dim.,Maintenance,high
Need transfer certificate urgently.,Academic,urgent
Not receiving college emails.,Technical,urgent
Not receiving college emails.,Technical,urgent
Need transfer certificate urgently.,Academic,urgent
Air conditioning is not functioning in classroom 404.,Maintenance,medium
Air conditioning is not functioning in classroom 202.,Maintenance,low
Grades for English are missing.,Academic,urgent
Elevator in block A is not working.,Maintenance,urgent
Password generation link is not working.,Technical,urgent
Room 101 has broken furniture.,Hostel/Mess,urgent
Unable to login to the student portal for the last four days.,Technical,urgent
Unable to login to the student portal for the last two days.,Technical,urgent
Wi-Fi is not working in the hostel block C.,Technical,urgent
Air conditioning is not functioning in classroom 404.,Maintenance,medium
No electricity in hostel block B since morning.,Hostel/Mess,urgent
Cleaning staff hasn't come to room 202 in 2 days.,Maintenance,low
Maintenance request for leaking tap in bathroom.,Hostel/Mess,urgent
Air conditioning is not functioning in classroom 202.,Maintenance,low
Allotment details are not updated in the portal.,Hostel/Mess,high
LMS is showing blank page after login.,Technical,low
Attendance not marked for today's lectures.,Academic,high
Password generation link is not working.,Technical,urgent
Unable to login to the student portal for the last three days.,Technical,urgent
Not receiving college emails.,Technical,urgent
Wi-Fi is not working in the hostel block C.,Technical,urgent
No drinking water in the mess area.,Maintenance,medium
Elevator in block B is not working.,Maintenance,urgent
Attendance not marked for today's lectures.,Academic,high
Need transfer certificate urgently.,Academic,urgent
LMS is showing blank page after login.,Technical,medium
Room 303 has broken furniture.,Hostel/Mess,urgent
Permission needed for external competition.,Academic,medium
Timetable not updated on portal.,Academic,high
Password generation link is not working.,Technical,urgent
Grades for Physics are missing.,Academic,urgent
Wi-Fi is not working in the hostel block C.,Technical,urgent
Unable to login to the student portal for the last two days.,Technical,urgent
LMS is showing blank page after login.,Technical,low
Need transfer certificate urgently.,Academic,urgent
Grades for Physics are missing.,Academic,urgent
